@relation filtered-set
@attribute #webpage {allocine.fr,amazon.com,booking.com,bouyguestelecom.fr,free.fr,imdb.com,chinadaily.com.cn,labanquepostale.fr,lcl.fr,leroymerlin.fr,pole-emploi.fr,stackoverflow.com,imbd.com}
@attribute unsharded string
@attribute url {http://www.allocine.fr,http://www.amazon.com/gp/gw/ajax/s.html,http://www.booking.com/index.it.html,http://www.bouyguestelecom.fr,http://www.free.fr/adsl,http://www.imdb.com,http://www.chinadaily.com.cn,http://www.labanquepostale.fr,http://particuliers.secure.lcl.fr/index.html,http://www.leroymerlin.fr,http://www.pole-emploi.fr/accueil,http://stackoverflow.com}
@attribute atf_imgs numeric
@attribute onload numeric
@attribute dom numeric
@attribute atf-inst numeric
@attribute atf-mult numeric
@attribute not-btf numeric
@attribute oi-plt numeric
@attribute oi-atf numeric
@attribute bi-plt numeric
@attribute bi-atf numeric
@attribute ii-plt numeric
@attribute ii-atf numeric
@attribute avg_connections numeric
@attribute bandwidth {-1,10mbit,infty}
@attribute bytes_css numeric
@attribute bytes_css_ratio numeric
@attribute bytes_html numeric
@attribute bytes_html_ratio numeric
@attribute bytes_img numeric
@attribute bytes_img_ratio numeric
@attribute bytes_in numeric
@attribute bytes_js numeric
@attribute bytes_js_ratio numeric
@attribute bytes_mean numeric
@attribute bytes_oth numeric
@attribute bytes_oth_ratio numeric
@attribute bytes_out numeric
@attribute bytes_sdev numeric
@attribute bytes_tot numeric
@attribute bytesperconn_mean numeric
@attribute bytesperconn_sdev numeric
@attribute bytesperdom_mean numeric
@attribute bytesperdom_sdev numeric
@attribute connections numeric
@attribute count_pixels numeric
@attribute counter numeric
@attribute datName string
@attribute datOK {True}
@attribute datSize numeric
@attribute dateEpoch numeric
@attribute dateHuman string
@attribute delay {False,True}
@attribute domains numeric
@attribute grade numeric
@attribute harName string
@attribute harOK {True}
@attribute harSize numeric
@attribute heterog string
@attribute homog string
@attribute latency numeric
@attribute loss {1,0,2}
@attribute lossy {True,False}
@attribute obj200 numeric
@attribute obj404 numeric
@attribute obj_css numeric
@attribute obj_css_ratio numeric
@attribute obj_html numeric
@attribute obj_html_ratio numeric
@attribute obj_img numeric
@attribute obj_img_ratio numeric
@attribute obj_js numeric
@attribute obj_js_ratio numeric
@attribute obj_oth numeric
@attribute obj_oth_ratio numeric
@attribute obj_tot numeric
@attribute objperconn_mean numeric
@attribute objperconn_sdev numeric
@attribute objperdom_mean numeric
@attribute objperdom_sdev numeric
@attribute page_img_ratio numeric
@attribute persID {040acc,04d960,1.37e+62,14b2af,18fc23,19d942,23b912,26a0fd,2839ea,2ac5d5,2c6f75,33bacc,364d64,37edea,3e877e,463666,4ee49c,51607c,58bfd0,5fcd87,5fe6d6,68b943,716e0e,719999,7368fb,785646,7c53d3,7cd9d3,7f9dd6,8f92ac,8fd10e,9f7d2c,ad9f71,b07b16,b16ad3,c2e336,c49eb1,c8f1ae,cc7877,cdbbc7,d69bdc,dec6da,e73a20,ed80e6,f0b004,f26cb9,f62160,fbf6af,fc3224,07f8f8,100163,19c9bb,1d78c4,1ffaec,2a46d1,3311000000.0,3386f7,3500b0,38cf83,39b29a,4c8a00,4ff3ff,518423,549ab8,6.5e+76,6c250c,8298ac,83bf1e,86a6ea,882003,8e6aff,9281db,98c959,a4f659,ad0dd9,b54504,bcf06f,be5e5a,c74cde,c9b7cb,d221e5,d223ea,d2c41b,d84b48,df72c8,e58463,eac9a4,f0f583,f7abdb,01cec1,04f2f4,0b62eb,0e7b09,107ad9,114fd9,12f604,135d2d,138a13,147b97,15c957,167305,1e1d5d,235fed,247ad4,29097c,296d8e,2ef8dc,302dfb,30be8b,314773,3abd57,3df5f0,3e862b,inf,49b7d0,4e6a16,52d028,534c02,550b06,5c90de,5dee94,5fefb5,62900000.0,686c95,69cc50,6b5b65,6b99b2,6cce0e,6de4ff,6e6f78,6f7309,70d0e2,718ce6,724f04,7416ec,742514,7f4fe8,7fb122,8209fd,882589,8b4764,9188b3,989f75,9e5c50,9f2fd2,a83cd3,aab86e,ae8614,aec858,afe241,b0121b,b0a217,b5d774,b6fe56,b87432,bb5de2,bb93fe,bf1771,c06a6e,c1d260,c36c25,c418a7,c56749,c88796,ca0570,cb13bd,d4baae,d73891,e2a19c,e3d495,e89f2c,ed8fc9,f14956,f1e1af,f2351d,f280f1,f55535,f79789,f8865d,f99230,faf77c,50591d,5ed20f,039df7,37bc6d,3ee46d,416980,42bf29,42c271,54fd24,59ed21,75b982,7d1793,80c85b,8b97f4,92cc59,931670,946b8b,9d1800,9d940b,a2e3c0,a928dd,aa6119,b0d900,b89f20,be715d,c0f19a,da72e6,f78063,69acbb}
@attribute proto {H2,HTTP/1.1}
@attribute rttperbyte_mean numeric
@attribute rttperbyte_sdev numeric
@attribute rttperdom_mean numeric
@attribute rttperdom_sdev numeric
@attribute rttperobj_mean numeric
@attribute rttperobj_sdev numeric
@attribute ttfb numeric
@attribute ttlb numeric
@attribute uReviews numeric
@data
allocine.fr,False,http://www.allocine.fr,8.0,1456,1344,647.9899999999496,1224.7860000000483,1304.2679999998873,1345.39512613,1344.0,1344.02800337,1344.0,1344.0,1344.0,1.0,-1,82668,0.041,29914,0.015,1327032,0.66,1968660,422524,0.21,17946.607,147882,0.074,41360,28104.263,2010020,118236.471,184116.471,118236.471,184116.471,17,416640.0,0,040acc_allocine.fr_0.dat,True,16062,1458652901,Tue_Mar_22_13:21:41_UTC_2016,False,17,4,040acc_allocine.fr_0.har,True,424540,False,True,0,1,True,111,0,3,0.027,1,0.009,90,0.804,14,0.125,4,0.036,112,6.588,6.499,6.588,6.499,0.452,040acc,H2,0.0,-1.0,0.0,0.0,0.0,0.0,29,1442,29
allocine.fr,False,http://www.allocine.fr,8.0,1348,1275,529.3930000000628,1104.1949999999179,1228.6109999999017,1276.0250625,1275.0,1275.0320332,1275.0,1275.0,1275.0,2.11764705882,-1,83712,0.041,30140,0.015,1356615,0.663,2003704,426474,0.208,18101.345,148511,0.073,41748,28003.933,2045452,56818.111,71391.74,120320.706,186785.466,36,416640.0,1,040acc_allocine.fr_1.dat,True,15630,1458652918,Tue_Mar_22_13:21:58_UTC_2016,False,17,4,040acc_allocine.fr_1.har,True,448882,False,True,0,1,True,112,0,3,0.027,1,0.009,91,0.805,14,0.124,4,0.035,113,3.139,2.371,6.647,6.615,0.452,040acc,HTTP/1.1,0.0,-1.0,0.0,0.0,0.0,0.0,31,1336,29
amazon.com,False,http://www.amazon.com/gp/gw/ajax/s.html,10.0,2508,1137,2415.8759999999547,2415.8759999999547,2415.8759999999547,1338.00665922,1338.00665922,1800.46718587,1800.46718587,2101.19275709,2101.19275709,2.25,-1,47415,0.009,129163,0.025,4929995,0.939,5167902,141713,0.027,26116.129,1056,0.0,81440,43551.355,5249342,583260.222,441904.468,1312335.5,2207091.864,9,647500.0,1,040acc_amazon.com_1.dat,True,15643,1458652954,Tue_Mar_22_13:22:34_UTC_2016,True,4,2,040acc_amazon.com_1.har,True,777479,False,True,10,0,False,179,22,6,0.03,28,0.139,159,0.791,7,0.035,1,0.005,201,22.333,13.466,50.25,80.698,0.703,040acc,HTTP/1.1,10.0,-1.0,10.0,0.0,10.0,0.0,82,2416,29
booking.com,False,http://www.booking.com/index.it.html,0.0,2359,1722,2111.1349999999684,2111.1349999999684,2111.1349999999684,1752.70207692,1740.25201587,1729.53740841,1728.26739709,1724.85543969,1724.85543969,3.0,-1,178637,0.172,101901,0.098,374665,0.361,1006254,360709,0.348,15244.309,20701,0.02,30359,25062.525,1036613,69107.533,52080.797,207322.6,201847.839,15,0.0,0,040acc_booking.com_0.dat,True,15644,1458653026,Tue_Mar_22_13:23:46_UTC_2016,True,5,4,040acc_booking.com_0.har,True,284422,False,True,50,0,False,66,2,6,0.088,3,0.044,47,0.691,11,0.162,1,0.015,68,4.533,1.893,13.6,13.124,0.0,040acc,HTTP/1.1,50.0,-1.0,50.0,0.0,50.0,0.0,292,2412,29
booking.com,False,http://www.booking.com/index.it.html,0.0,2172,1521,1892.1790000000271,1892.1790000000271,1892.1790000000271,1551.09556923,1544.17585937,1528.21915149,1528.07973166,1523.42851929,1523.42851929,1.0,-1,176753,0.174,101178,0.099,361992,0.356,987134,357093,0.351,14963.147,20478,0.02,30360,25044.882,1017494,203498.8,198018.773,203498.8,198018.773,5,0.0,1,040acc_booking.com_1.dat,True,15643,1458653040,Tue_Mar_22_13:24:00_UTC_2016,True,5,3,040acc_booking.com_1.har,True,271783,False,True,50,0,False,66,2,6,0.088,3,0.044,47,0.691,11,0.162,1,0.015,68,13.6,13.124,13.6,13.124,0.0,040acc,H2,50.0,-1.0,50.0,0.0,50.0,0.0,291,2217,29
bouyguestelecom.fr,False,http://www.bouyguestelecom.fr,2.0,1165,1021,414.6549999999406,883.445000000037,883.445000000037,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,1.66666666667,-1,26678,0.042,16126,0.025,291965,0.459,622711,301342,0.474,19878.469,0,0.0,13400,36219.411,636111,42407.4,73533.249,70679.0,165220.028,15,46741.0,0,040acc_bouyguestelecom.fr_0.dat,True,15651,1458653060,Tue_Mar_22_13:24:20_UTC_2016,True,9,4,040acc_bouyguestelecom.fr_0.har,True,147793,False,True,20,0,False,30,2,3,0.094,3,0.094,18,0.562,8,0.25,0,0.0,32,2.133,1.746,3.556,5.6,0.051,040acc,HTTP/1.1,20.0,-1.0,20.0,0.0,20.0,0.0,127,1194,29
bouyguestelecom.fr,False,http://www.bouyguestelecom.fr,2.0,1338,1200,480.59800000005316,1053.3699999998903,1053.3699999998903,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1.0,-1,25716,0.041,15476,0.025,287400,0.458,614018,298829,0.476,19606.906,0,0.0,13403,36202.469,627421,69713.444,163565.457,69713.444,163565.457,9,46741.0,1,040acc_bouyguestelecom.fr_1.dat,True,16082,1458653074,Tue_Mar_22_13:24:34_UTC_2016,True,9,4,040acc_bouyguestelecom.fr_1.har,True,141683,False,True,20,0,False,30,2,3,0.094,3,0.094,18,0.562,8,0.25,0,0.0,32,3.556,5.6,3.556,5.6,0.051,040acc,H2,20.0,-1.0,20.0,0.0,20.0,0.0,130,1357,29
free.fr,False,http://www.free.fr/adsl,2.0,801,667,157.06800000002482,583.1720000002388,583.1720000002388,672.000032258,667.0,669.601646459,667.0,667.0,667.0,1.0,-1,16246,0.019,10040,0.011,604864,0.69,866088,73853,0.084,28284.677,171822,0.196,10737,48706.528,876825,219206.25,317507.875,219206.25,317507.875,4,8776.0,0,040acc_free.fr_0.dat,True,16056,1458653426,Tue_Mar_22_13:30:26_UTC_2016,False,4,4,040acc_free.fr_0.har,True,122803,False,True,0,0,False,31,0,7,0.226,1,0.032,11,0.355,7,0.226,5,0.161,31,7.75,11.121,7.75,11.121,0.01,040acc,H2,0.0,-1.0,0.0,0.0,0.0,0.0,27,797,29
free.fr,False,http://www.free.fr/adsl,2.0,767,649,234.51100000006772,568.966000000275,568.966000000275,653.6726,649.0,652.657920118,649.0,649.0,649.0,2.25,-1,18513,0.027,10275,0.015,417298,0.6,684526,76092,0.109,23164.3,172751,0.249,10403,39330.974,694929,77214.333,68290.898,173732.25,238954.511,9,8776.0,1,040acc_free.fr_1.dat,True,15625,1458653442,Tue_Mar_22_13:30:42_UTC_2016,False,4,4,040acc_free.fr_1.har,True,124475,False,True,0,0,False,30,0,7,0.233,1,0.033,10,0.333,7,0.233,5,0.167,30,3.333,2.906,7.5,10.689,0.01,040acc,HTTP/1.1,0.0,-1.0,0.0,0.0,0.0,0.0,31,762,29
imdb.com,False,http://www.imdb.com,8.0,2313,1012,450.2260000001352,1601.0509999998396,1995.6060000001519,1240.89381905,1012.0,1266.48161466,1012.0,1191.75162459,1012.0,1.94444444444,-1,79626,0.056,162115,0.113,763809,0.533,1385407,264177,0.184,13511.066,162446,0.113,46766,21660.673,1432173,40919.229,53091.299,79565.167,161245.076,35,268038.0,0,040acc_imdb.com_0.dat,True,15623,1458653460,Tue_Mar_22_13:31:00_UTC_2016,False,18,4,040acc_imdb.com_0.har,True,447990,False,True,0,1,True,105,0,7,0.066,15,0.142,67,0.632,11,0.104,6,0.057,106,3.029,3.139,5.889,12.119,0.291,040acc,HTTP/1.1,0.0,-1.0,0.0,0.0,0.0,0.0,23,1996,29
